customer_id,customer_name,segment,industry,region,account_owner,signup_date,billing_country,payment_terms_days,customer_status
CUST-0049,Quantum Cart Inc.,SMB,Gaming,Middle East,A. Novak,2025-07-01,GB,14,active
CUST-0050,SentinelSec Inc.,Enterprise,Fintech,Europe,N. Kowalski,2022-12-01,GB,60,active
CUST-0051,MedNova Inc.,Commercial,Media,Middle East,A. Novak,2024-03-01,US,14,active
CUST-0052,BrightApps Inc.,SMB,Gaming,North America,M. Jensen,2024-07-01,AE,30,active
CUST-0053,SignalForge Inc.,SMB,Cybersecurity,Middle East,M. Jensen,2023-07-01,AE,14,active
CUST-0054,Atlas Retail Inc.,SMB,AI/ML,APAC,M. Jensen,2025-06-01,GB,14,active
CUST-0055,NovaLearn Inc.,SMB,Cybersecurity,Europe,T. Meyer,2023-01-01,NL,60,active
CUST-0056,PeakMetrics Inc.,Commercial,Cybersecurity,Europe,L. Garcia,2024-07-01,NL,60,paused
CUST-0057,Aurora Systems Inc.,Enterprise,SaaS,APAC,A. Novak,2023-03-01,GB,45,active
CUST-0058,Tesseract AI Inc.,Strategic,Fintech,Middle East,M. Jensen,2025-01-01,US,30,active
CUST-0059,OmniPay Inc.,Strategic,SaaS,North America,A. Novak,2024-12-01,GB,45,active
CUST-0060,DeltaStream Cloud,SMB,SaaS,North America,T. Meyer,2024-12-01,FR,14,active
CUST-0061,Acme Analytics Cloud,Commercial,Healthcare,Europe,S. Patel,2022-07-01,AE,45,active
CUST-0062,HelioBank Cloud,SMB,AI/ML,APAC,A. Novak,2024-08-01,US,45,active
CUST-0063,Vertex Labs Cloud,Strategic,Media,Europe,L. Garcia,2024-10-01,US,30,active
CUST-0064,Northstar Gaming Cloud,Commercial,E-commerce,APAC,T. Meyer,2023-09-01,AE,30,active
CUST-0065,BlueRiver AI Cloud,SMB,SaaS,APAC,T. Meyer,2023-02-01,US,60,active
CUST-0066,CloudNest Cloud,Strategic,SaaS,North America,M. Jensen,2025-03-01,NL,30,active
CUST-0067,Finwise Cloud,SMB,Fintech,North America,L. Garcia,2023-03-01,PL,45,active
CUST-0068,Orbit Media Cloud,Enterprise,SaaS,APAC,L. Garcia,2022-10-01,AE,45,active
CUST-0069,Quantum Cart Cloud,Strategic,Media,APAC,S. Patel,2025-03-01,DE,30,active
CUST-0070,SentinelSec Cloud,Strategic,Gaming,Europe,S. Patel,2022-08-01,DE,30,active
CUST-0071,MedNova Cloud,SMB,Fintech,Europe,M. Jensen,2025-02-01,PL,45,active
CUST-0072,BrightApps Cloud,Enterprise,SaaS,North America,N. Kowalski,2024-01-01,GB,30,active
CUST-0073,SignalForge Cloud,Strategic,Gaming,North America,L. Garcia,2024-01-01,SG,30,active
CUST-0074,Atlas Retail Cloud,Commercial,E-commerce,Middle East,A. Novak,2023-09-01,AE,45,active
CUST-0075,NovaLearn Cloud,Commercial,Media,APAC,L. Garcia,2022-12-01,FR,45,active
CUST-0076,PeakMetrics Cloud,Enterprise,Media,Europe,T. Meyer,2022-01-01,DE,45,active
CUST-0077,Aurora Systems Cloud,Commercial,E-commerce,Middle East,L. Garcia,2024-10-01,US,30,active
CUST-0078,Tesseract AI Cloud,SMB,AI/ML,Middle East,T. Meyer,2022-03-01,GB,14,active
CUST-0079,OmniPay Cloud,Strategic,Healthcare,Middle East,S. Patel,2025-03-01,US,45,active
CUST-0080,DeltaStream Technologies,Enterprise,Media,North America,N. Kowalski,2024-06-01,SG,30,churned
CUST-0081,Acme Analytics Technologies,Commercial,SaaS,Europe,M. Jensen,2022-01-01,US,14,active
CUST-0082,HelioBank Technologies,Commercial,Media,Middle East,A. Novak,2022-02-01,NL,14,active
CUST-0083,Vertex Labs Technologies,Commercial,Healthcare,Europe,A. Novak,2024-05-01,PL,45,active
CUST-0084,Northstar Gaming Technologies,Commercial,Gaming,North America,M. Jensen,2024-02-01,NL,30,active
CUST-0085,BlueRiver AI Technologies,Commercial,Healthcare,Middle East,A. Novak,2022-05-01,AE,14,active
CUST-0086,CloudNest Technologies,SMB,SaaS,APAC,S. Patel,2024-09-01,AE,60,active
CUST-0087,Finwise Technologies,Commercial,AI/ML,North America,T. Meyer,2023-03-01,FR,14,active
CUST-0088,Orbit Media Technologies,Enterprise,E-commerce,APAC,L. Garcia,2024-04-01,AE,60,active
CUST-0089,Quantum Cart Technologies,Commercial,Media,North America,N. Kowalski,2024-06-01,GB,45,active
CUST-0090,SentinelSec Technologies,SMB,AI/ML,APAC,T. Meyer,2023-01-01,DE,60,active
