month,customer_id,product,compute_hours,gpu_hours,storage_tb_avg,egress_tb,active_projects,active_users
2025-03-01,CUST-0001,compute_standard,59354.64,0.00,0.00,0.00,39,230
2025-03-01,CUST-0001,gpu_a100,0.00,2224.71,0.00,0.00,39,233
2025-03-01,CUST-0001,object_storage,0.00,0.00,343.75,0.00,38,232
2025-03-01,CUST-0001,network_egress,0.00,0.00,0.00,66.72,40,232
2025-04-01,CUST-0001,compute_standard,64308.55,0.00,0.00,0.00,37,245
2025-04-01,CUST-0001,gpu_a100,0.00,2617.51,0.00,0.00,40,228
2025-04-01,CUST-0001,object_storage,0.00,0.00,391.22,0.00,35,219
2025-04-01,CUST-0001,network_egress,0.00,0.00,0.00,92.00,41,228
2025-05-01,CUST-0001,compute_standard,67398.36,0.00,0.00,0.00,39,232
2025-05-01,CUST-0001,gpu_a100,0.00,1736.30,0.00,0.00,39,238
2025-05-01,CUST-0001,object_storage,0.00,0.00,328.27,0.00,39,227
2025-05-01,CUST-0001,network_egress,0.00,0.00,0.00,84.71,38,213
2025-06-01,CUST-0001,compute_standard,76972.15,0.00,0.00,0.00,38,236
2025-06-01,CUST-0001,gpu_a100,0.00,1863.25,0.00,0.00,38,227
2025-06-01,CUST-0001,object_storage,0.00,0.00,378.71,0.00,37,220
2025-06-01,CUST-0001,network_egress,0.00,0.00,0.00,77.06,40,241
2025-07-01,CUST-0001,compute_standard,70808.15,0.00,0.00,0.00,36,245
2025-07-01,CUST-0001,gpu_a100,0.00,3069.35,0.00,0.00,37,233
2025-07-01,CUST-0001,object_storage,0.00,0.00,360.83,0.00,40,225
2025-07-01,CUST-0001,network_egress,0.00,0.00,0.00,106.73,37,246
2025-08-01,CUST-0001,compute_standard,63466.88,0.00,0.00,0.00,37,230
2025-08-01,CUST-0001,gpu_a100,0.00,3009.74,0.00,0.00,38,214
2025-08-01,CUST-0001,object_storage,0.00,0.00,384.15,0.00,35,248
2025-08-01,CUST-0001,network_egress,0.00,0.00,0.00,96.20,42,237
2025-09-01,CUST-0001,compute_standard,75733.42,0.00,0.00,0.00,38,233
2025-09-01,CUST-0001,gpu_a100,0.00,2923.80,0.00,0.00,35,245
2025-09-01,CUST-0001,object_storage,0.00,0.00,361.78,0.00,39,242
2025-09-01,CUST-0001,network_egress,0.00,0.00,0.00,87.56,38,217
2025-10-01,CUST-0001,compute_standard,73890.00,0.00,0.00,0.00,37,221
2025-10-01,CUST-0001,gpu_accelerated,0.00,2717.88,0.00,0.00,36,250
2025-10-01,CUST-0001,object_storage,0.00,0.00,384.44,0.00,38,250
2025-10-01,CUST-0001,network_egress,0.00,0.00,0.00,79.27,39,236
2025-11-01,CUST-0001,compute_standard,76583.68,0.00,0.00,0.00,37,239
2025-11-01,CUST-0001,gpu_accelerated,0.00,2551.38,0.00,0.00,40,232
2025-11-01,CUST-0001,object_storage,0.00,0.00,357.51,0.00,40,236
2025-11-01,CUST-0001,network_egress,0.00,0.00,0.00,85.68,39,236
2025-12-01,CUST-0001,compute_standard,78578.78,0.00,0.00,0.00,38,235
2025-12-01,CUST-0001,gpu_accelerated,0.00,2340.62,0.00,0.00,43,222
2025-12-01,CUST-0001,object_storage,0.00,0.00,398.05,0.00,40,233
2025-12-01,CUST-0001,network_egress,0.00,0.00,0.00,78.26,42,220
2026-01-01,CUST-0001,compute_standard,75494.43,0.00,0.00,0.00,37,233
2026-01-01,CUST-0001,gpu_accelerated,0.00,1863.13,0.00,0.00,37,238
2026-01-01,CUST-0001,object_storage,0.00,0.00,411.67,0.00,41,235
2026-01-01,CUST-0001,network_egress,0.00,0.00,0.00,103.37,39,235
2026-02-01,CUST-0001,compute_standard,63991.95,0.00,0.00,0.00,42,244
2026-02-01,CUST-0001,gpu_accelerated,0.00,2769.72,0.00,0.00,39,222
2026-02-01,CUST-0001,object_storage,0.00,0.00,409.76,0.00,38,231
2026-02-01,CUST-0001,network_egress,0.00,0.00,0.00,91.05,36,235
2026-03-01,CUST-0001,compute_standard,83407.80,0.00,0.00,0.00,35,241
2026-03-01,CUST-0001,gpu_accelerated,0.00,2310.74,0.00,0.00,39,233
2026-03-01,CUST-0001,object_storage,0.00,0.00,421.96,0.00,39,237
2026-03-01,CUST-0001,network_egress,0.00,0.00,0.00,123.92,43,219
2026-04-01,CUST-0001,compute_standard,68663.52,0.00,0.00,0.00,38,234
2026-04-01,CUST-0001,gpu_accelerated,0.00,3205.88,0.00,0.00,43,232
2026-04-01,CUST-0001,object_storage,0.00,0.00,439.57,0.00,36,241
2026-04-01,CUST-0001,network_egress,0.00,0.00,0.00,129.78,36,239
2026-05-01,CUST-0001,compute_standard,72282.16,0.00,0.00,0.00,34,231
2026-05-01,CUST-0001,gpu_accelerated,0.00,2291.94,0.00,0.00,38,246
2026-05-01,CUST-0001,object_storage,0.00,0.00,422.24,0.00,38,231
2026-05-01,CUST-0001,network_egress,0.00,0.00,0.00,122.13,36,225
2025-04-01,CUST-0002,compute_standard,3089.11,0.00,0.00,0.00,4,21
2025-04-01,CUST-0002,gpu_a100,0.00,122.67,0.00,0.00,8,25
2025-04-01,CUST-0002,object_storage,0.00,0.00,9.74,0.00,1,19
2025-04-01,CUST-0002,network_egress,0.00,0.00,0.00,38.03,2,9
2025-05-01,CUST-0002,compute_standard,3363.70,0.00,0.00,0.00,1,27
2025-05-01,CUST-0002,gpu_a100,0.00,60.58,0.00,0.00,3,31
2025-05-01,CUST-0002,object_storage,0.00,0.00,10.34,0.00,2,21
2025-05-01,CUST-0002,network_egress,0.00,0.00,0.00,43.30,1,4
2025-06-01,CUST-0002,compute_standard,3491.90,0.00,0.00,0.00,6,33
2025-06-01,CUST-0002,gpu_a100,0.00,88.27,0.00,0.00,5,19
2025-06-01,CUST-0002,object_storage,0.00,0.00,10.36,0.00,1,5
2025-06-01,CUST-0002,network_egress,0.00,0.00,0.00,35.11,8,4
2025-07-01,CUST-0002,compute_standard,3551.22,0.00,0.00,0.00,3,23
2025-07-01,CUST-0002,gpu_a100,0.00,114.42,0.00,0.00,3,16
2025-07-01,CUST-0002,object_storage,0.00,0.00,9.50,0.00,1,17
2025-07-01,CUST-0002,network_egress,0.00,0.00,0.00,39.61,3,18
2025-08-01,CUST-0002,compute_standard,2518.14,0.00,0.00,0.00,3,35
2025-08-01,CUST-0002,gpu_a100,0.00,96.05,0.00,0.00,4,28
2025-08-01,CUST-0002,object_storage,0.00,0.00,11.17,0.00,2,16
2025-08-01,CUST-0002,network_egress,0.00,0.00,0.00,41.98,4,14
2025-09-01,CUST-0002,compute_standard,2463.45,0.00,0.00,0.00,5,14
2025-09-01,CUST-0002,gpu_a100,0.00,113.45,0.00,0.00,1,16
2025-09-01,CUST-0002,object_storage,0.00,0.00,11.21,0.00,1,15
2025-09-01,CUST-0002,network_egress,0.00,0.00,0.00,32.10,3,24
2025-10-01,CUST-0002,compute_standard,2958.89,0.00,0.00,0.00,4,27
2025-10-01,CUST-0002,gpu_accelerated,0.00,104.64,0.00,0.00,6,9
2025-10-01,CUST-0002,object_storage,0.00,0.00,10.69,0.00,4,4
2025-10-01,CUST-0002,network_egress,0.00,0.00,0.00,40.15,3,26
2025-11-01,CUST-0002,compute_standard,2956.14,0.00,0.00,0.00,1,6
2025-11-01,CUST-0002,gpu_accelerated,0.00,101.98,0.00,0.00,1,23
2025-11-01,CUST-0002,object_storage,0.00,0.00,9.30,0.00,5,20
2025-11-01,CUST-0002,network_egress,0.00,0.00,0.00,41.37,1,28
2025-12-01,CUST-0002,compute_standard,2949.12,0.00,0.00,0.00,5,13
2025-12-01,CUST-0002,gpu_accelerated,0.00,97.18,0.00,0.00,1,21
2025-12-01,CUST-0002,object_storage,0.00,0.00,9.70,0.00,1,12
2025-12-01,CUST-0002,network_egress,0.00,0.00,0.00,44.19,3,14
2026-01-01,CUST-0002,compute_standard,2424.71,0.00,0.00,0.00,1,33
2026-01-01,CUST-0002,gpu_accelerated,0.00,113.63,0.00,0.00,3,21
2026-01-01,CUST-0002,object_storage,0.00,0.00,9.36,0.00,1,9
2026-01-01,CUST-0002,network_egress,0.00,0.00,0.00,48.23,3,11
2026-02-01,CUST-0002,compute_standard,3068.39,0.00,0.00,0.00,1,6
2026-02-01,CUST-0002,gpu_accelerated,0.00,105.01,0.00,0.00,1,3
2026-02-01,CUST-0002,object_storage,0.00,0.00,11.19,0.00,1,7
2026-02-01,CUST-0002,network_egress,0.00,0.00,0.00,35.50,2,22
2026-03-01,CUST-0002,compute_standard,2915.77,0.00,0.00,0.00,3,23
2026-03-01,CUST-0002,gpu_accelerated,0.00,92.20,0.00,0.00,3,1
2026-03-01,CUST-0002,object_storage,0.00,0.00,10.64,0.00,1,6
2026-03-01,CUST-0002,network_egress,0.00,0.00,0.00,47.68,1,16
2026-04-01,CUST-0002,compute_standard,2719.30,0.00,0.00,0.00,3,28
2026-04-01,CUST-0002,gpu_accelerated,0.00,58.92,0.00,0.00,3,1
2026-04-01,CUST-0002,object_storage,0.00,0.00,10.41,0.00,2,19
2026-04-01,CUST-0002,network_egress,0.00,0.00,0.00,35.08,1,12
2026-05-01,CUST-0002,compute_standard,3136.15,0.00,0.00,0.00,2,9
2026-05-01,CUST-0002,gpu_accelerated,0.00,106.33,0.00,0.00,4,18
2026-05-01,CUST-0002,object_storage,0.00,0.00,11.14,0.00,5,25
2026-05-01,CUST-0002,network_egress,0.00,0.00,0.00,32.68,2,13
2024-01-01,CUST-0003,compute_standard,6541.32,0.00,0.00,0.00,3,41
2024-01-01,CUST-0003,gpu_a100,0.00,48.32,0.00,0.00,8,47
2024-01-01,CUST-0003,object_storage,0.00,0.00,180.61,0.00,6,43
2024-01-01,CUST-0003,network_egress,0.00,0.00,0.00,107.70,10,31
2024-02-01,CUST-0003,compute_standard,5574.75,0.00,0.00,0.00,8,33
2024-02-01,CUST-0003,gpu_a100,0.00,55.13,0.00,0.00,5,35
2024-02-01,CUST-0003,object_storage,0.00,0.00,174.25,0.00,9,47
2024-02-01,CUST-0003,network_egress,0.00,0.00,0.00,115.87,8,32
2024-03-01,CUST-0003,compute_standard,6039.05,0.00,0.00,0.00,9,46
2024-03-01,CUST-0003,gpu_a100,0.00,44.86,0.00,0.00,5,41
2024-03-01,CUST-0003,object_storage,0.00,0.00,168.98,0.00,8,40
2024-03-01,CUST-0003,network_egress,0.00,0.00,0.00,81.61,7,34
2024-04-01,CUST-0003,compute_standard,8674.44,0.00,0.00,0.00,7,52
2024-04-01,CUST-0003,gpu_a100,0.00,32.41,0.00,0.00,3,40
2024-04-01,CUST-0003,object_storage,0.00,0.00,161.45,0.00,4,46
2024-04-01,CUST-0003,network_egress,0.00,0.00,0.00,125.57,5,37
2024-05-01,CUST-0003,compute_standard,8591.37,0.00,0.00,0.00,4,48
2024-05-01,CUST-0003,gpu_a100,0.00,52.49,0.00,0.00,5,36
2024-05-01,CUST-0003,object_storage,0.00,0.00,171.63,0.00,8,44
2024-05-01,CUST-0003,network_egress,0.00,0.00,0.00,110.60,6,41
2024-06-01,CUST-0003,compute_standard,9034.93,0.00,0.00,0.00,5,24
2024-06-01,CUST-0003,gpu_a100,0.00,51.04,0.00,0.00,7,48
2024-06-01,CUST-0003,object_storage,0.00,0.00,175.39,0.00,7,58
2024-06-01,CUST-0003,network_egress,0.00,0.00,0.00,91.51,6,39
2024-07-01,CUST-0003,compute_standard,9932.46,0.00,0.00,0.00,7,42
2024-07-01,CUST-0003,gpu_a100,0.00,62.02,0.00,0.00,7,44
2024-07-01,CUST-0003,object_storage,0.00,0.00,179.20,0.00,9,34
2024-07-01,CUST-0003,network_egress,0.00,0.00,0.00,127.58,7,53
2024-08-01,CUST-0003,compute_standard,7733.53,0.00,0.00,0.00,8,58
2024-08-01,CUST-0003,gpu_a100,0.00,48.03,0.00,0.00,9,33
2024-08-01,CUST-0003,object_storage,0.00,0.00,198.15,0.00,5,33
2024-08-01,CUST-0003,network_egress,0.00,0.00,0.00,133.63,6,43
2024-09-01,CUST-0003,compute_standard,10052.92,0.00,0.00,0.00,3,36
2024-09-01,CUST-0003,gpu_a100,0.00,55.67,0.00,0.00,8,49
2024-09-01,CUST-0003,object_storage,0.00,0.00,202.88,0.00,6,41
2024-09-01,CUST-0003,network_egress,0.00,0.00,0.00,100.31,5,53
2024-10-01,CUST-0003,compute_standard,8238.53,0.00,0.00,0.00,9,44
2024-10-01,CUST-0003,gpu_a100,0.00,72.47,0.00,0.00,10,53
2024-10-01,CUST-0003,object_storage,0.00,0.00,205.68,0.00,10,54
2024-10-01,CUST-0003,network_egress,0.00,0.00,0.00,110.59,6,44
2024-11-01,CUST-0003,compute_standard,11990.70,0.00,0.00,0.00,7,54
2024-11-01,CUST-0003,gpu_a100,0.00,76.54,0.00,0.00,4,37
2024-11-01,CUST-0003,object_storage,0.00,0.00,194.15,0.00,8,32
2024-11-01,CUST-0003,network_egress,0.00,0.00,0.00,161.41,8,35
2024-12-01,CUST-0003,compute_standard,9645.20,0.00,0.00,0.00,7,61
2024-12-01,CUST-0003,gpu_a100,0.00,61.21,0.00,0.00,7,54
2024-12-01,CUST-0003,object_storage,0.00,0.00,209.91,0.00,6,34
2024-12-01,CUST-0003,network_egress,0.00,0.00,0.00,125.56,4,38
2025-01-01,CUST-0003,compute_standard,10206.90,0.00,0.00,0.00,8,33
2025-01-01,CUST-0003,gpu_a100,0.00,54.55,0.00,0.00,8,53
2025-01-01,CUST-0003,object_storage,0.00,0.00,206.10,0.00,4,41
2025-01-01,CUST-0003,network_egress,0.00,0.00,0.00,118.32,9,51
2025-02-01,CUST-0003,compute_standard,8900.97,0.00,0.00,0.00,10,49
2025-02-01,CUST-0003,gpu_a100,0.00,43.62,0.00,0.00,8,36
2025-02-01,CUST-0003,object_storage,0.00,0.00,211.77,0.00,5,35
2025-02-01,CUST-0003,network_egress,0.00,0.00,0.00,120.57,8,37
2025-03-01,CUST-0003,compute_standard,13226.85,0.00,0.00,0.00,7,46
2025-03-01,CUST-0003,gpu_a100,0.00,77.46,0.00,0.00,8,58
2025-03-01,CUST-0003,object_storage,0.00,0.00,235.42,0.00,8,27
2025-03-01,CUST-0003,network_egress,0.00,0.00,0.00,191.69,9,39
2025-04-01,CUST-0003,compute_standard,11428.19,0.00,0.00,0.00,6,38
2025-04-01,CUST-0003,gpu_a100,0.00,79.94,0.00,0.00,6,21
2025-04-01,CUST-0003,object_storage,0.00,0.00,230.26,0.00,5,29
2025-04-01,CUST-0003,network_egress,0.00,0.00,0.00,179.72,6,43
2025-05-01,CUST-0003,compute_standard,11859.15,0.00,0.00,0.00,9,30
2025-05-01,CUST-0003,gpu_a100,0.00,105.43,0.00,0.00,7,40
2025-05-01,CUST-0003,object_storage,0.00,0.00,228.98,0.00,6,48
2025-05-01,CUST-0003,network_egress,0.00,0.00,0.00,179.94,8,30
2025-06-01,CUST-0003,compute_standard,15061.79,0.00,0.00,0.00,8,43
2025-06-01,CUST-0003,gpu_a100,0.00,51.57,0.00,0.00,3,27
2025-06-01,CUST-0003,object_storage,0.00,0.00,223.38,0.00,11,27
2025-06-01,CUST-0003,network_egress,0.00,0.00,0.00,159.55,4,38
2025-07-01,CUST-0003,compute_standard,14260.11,0.00,0.00,0.00,6,35
2025-07-01,CUST-0003,gpu_a100,0.00,55.33,0.00,0.00,10,53
2025-07-01,CUST-0003,object_storage,0.00,0.00,264.96,0.00,8,32
2025-07-01,CUST-0003,network_egress,0.00,0.00,0.00,211.72,10,47
2025-08-01,CUST-0003,compute_standard,16181.90,0.00,0.00,0.00,8,39
2025-08-01,CUST-0003,gpu_a100,0.00,79.63,0.00,0.00,4,43
2025-08-01,CUST-0003,object_storage,0.00,0.00,225.96,0.00,9,52
2025-08-01,CUST-0003,network_egress,0.00,0.00,0.00,228.36,7,50
2025-09-01,CUST-0003,compute_standard,12339.26,0.00,0.00,0.00,6,55
2025-09-01,CUST-0003,gpu_a100,0.00,58.09,0.00,0.00,4,29
2025-09-01,CUST-0003,object_storage,0.00,0.00,246.56,0.00,4,44
2025-09-01,CUST-0003,network_egress,0.00,0.00,0.00,211.94,5,36
2025-10-01,CUST-0003,compute_standard,15107.91,0.00,0.00,0.00,7,38
2025-10-01,CUST-0003,gpu_accelerated,0.00,98.98,0.00,0.00,6,42
2025-10-01,CUST-0003,object_storage,0.00,0.00,275.25,0.00,9,57
2025-10-01,CUST-0003,network_egress,0.00,0.00,0.00,235.65,10,52
2025-11-01,CUST-0003,compute_standard,15325.87,0.00,0.00,0.00,1,65
2025-11-01,CUST-0003,gpu_accelerated,0.00,107.03,0.00,0.00,10,34
2025-11-01,CUST-0003,object_storage,0.00,0.00,257.01,0.00,9,45
2025-11-01,CUST-0003,network_egress,0.00,0.00,0.00,213.14,7,41
2025-12-01,CUST-0003,compute_standard,18623.61,0.00,0.00,0.00,7,37
2025-12-01,CUST-0003,gpu_accelerated,0.00,107.03,0.00,0.00,5,66
2025-12-01,CUST-0003,object_storage,0.00,0.00,272.25,0.00,7,43
2025-12-01,CUST-0003,network_egress,0.00,0.00,0.00,231.57,7,36
2026-01-01,CUST-0003,compute_standard,13446.40,0.00,0.00,0.00,5,36
2026-01-01,CUST-0003,gpu_accelerated,0.00,65.32,0.00,0.00,10,31
2026-01-01,CUST-0003,object_storage,0.00,0.00,275.23,0.00,7,31
2026-01-01,CUST-0003,network_egress,0.00,0.00,0.00,276.59,7,36
2026-02-01,CUST-0003,compute_standard,14762.73,0.00,0.00,0.00,6,37
2026-02-01,CUST-0003,gpu_accelerated,0.00,147.20,0.00,0.00,5,49
2026-02-01,CUST-0003,object_storage,0.00,0.00,281.50,0.00,9,41
2026-02-01,CUST-0003,network_egress,0.00,0.00,0.00,234.25,7,40
2026-03-01,CUST-0003,compute_standard,15804.13,0.00,0.00,0.00,5,47
2026-03-01,CUST-0003,gpu_accelerated,0.00,96.82,0.00,0.00,5,49
2026-03-01,CUST-0003,object_storage,0.00,0.00,295.84,0.00,7,39
2026-03-01,CUST-0003,network_egress,0.00,0.00,0.00,200.82,5,57
2026-04-01,CUST-0003,compute_standard,17933.83,0.00,0.00,0.00,9,54
2026-04-01,CUST-0003,gpu_accelerated,0.00,131.10,0.00,0.00,7,34
2026-04-01,CUST-0003,object_storage,0.00,0.00,313.84,0.00,4,34
2026-04-01,CUST-0003,network_egress,0.00,0.00,0.00,284.06,8,47
2026-05-01,CUST-0003,compute_standard,21581.80,0.00,0.00,0.00,10,57
2026-05-01,CUST-0003,gpu_accelerated,0.00,146.42,0.00,0.00,10,39
2026-05-01,CUST-0003,object_storage,0.00,0.00,301.74,0.00,5,42
2026-05-01,CUST-0003,network_egress,0.00,0.00,0.00,321.22,8,28
2024-01-01,CUST-0004,compute_standard,3057.14,0.00,0.00,0.00,1,10
2024-01-01,CUST-0004,gpu_a100,0.00,209.06,0.00,0.00,1,20
2024-01-01,CUST-0004,object_storage,0.00,0.00,48.53,0.00,1,18
2024-01-01,CUST-0004,network_egress,0.00,0.00,0.00,52.30,3,14
2024-02-01,CUST-0004,compute_standard,3819.67,0.00,0.00,0.00,4,5
2024-02-01,CUST-0004,gpu_a100,0.00,245.85,0.00,0.00,5,22
2024-02-01,CUST-0004,object_storage,0.00,0.00,47.48,0.00,1,3
2024-02-01,CUST-0004,network_egress,0.00,0.00,0.00,58.70,2,15
2024-03-01,CUST-0004,compute_standard,4153.55,0.00,0.00,0.00,1,24
2024-03-01,CUST-0004,gpu_a100,0.00,201.26,0.00,0.00,1,10
2024-03-01,CUST-0004,object_storage,0.00,0.00,53.11,0.00,1,15
2024-03-01,CUST-0004,network_egress,0.00,0.00,0.00,48.07,1,1
2024-04-01,CUST-0004,compute_standard,3586.59,0.00,0.00,0.00,1,30
2024-04-01,CUST-0004,gpu_a100,0.00,170.00,0.00,0.00,3,5
2024-04-01,CUST-0004,object_storage,0.00,0.00,46.77,0.00,4,5
2024-04-01,CUST-0004,network_egress,0.00,0.00,0.00,53.38,4,10
2024-05-01,CUST-0004,compute_standard,4947.96,0.00,0.00,0.00,2,15
2024-05-01,CUST-0004,gpu_a100,0.00,189.81,0.00,0.00,3,7
2024-05-01,CUST-0004,object_storage,0.00,0.00,51.47,0.00,5,24
2024-05-01,CUST-0004,network_egress,0.00,0.00,0.00,79.33,1,27
2024-06-01,CUST-0004,compute_standard,4888.48,0.00,0.00,0.00,5,31
2024-06-01,CUST-0004,gpu_a100,0.00,319.87,0.00,0.00,5,8
2024-06-01,CUST-0004,object_storage,0.00,0.00,52.47,0.00,3,22
2024-06-01,CUST-0004,network_egress,0.00,0.00,0.00,56.13,4,13
2024-07-01,CUST-0004,compute_standard,4443.78,0.00,0.00,0.00,3,4
2024-07-01,CUST-0004,gpu_a100,0.00,214.59,0.00,0.00,1,14
2024-07-01,CUST-0004,object_storage,0.00,0.00,57.90,0.00,2,9
2024-07-01,CUST-0004,network_egress,0.00,0.00,0.00,57.60,1,34
2024-08-01,CUST-0004,compute_standard,4256.46,0.00,0.00,0.00,7,27
2024-08-01,CUST-0004,gpu_a100,0.00,355.62,0.00,0.00,3,21
2024-08-01,CUST-0004,object_storage,0.00,0.00,54.29,0.00,3,12
2024-08-01,CUST-0004,network_egress,0.00,0.00,0.00,70.42,1,20
2024-09-01,CUST-0004,compute_standard,4690.61,0.00,0.00,0.00,1,9
2024-09-01,CUST-0004,gpu_a100,0.00,269.43,0.00,0.00,2,29
2024-09-01,CUST-0004,object_storage,0.00,0.00,55.13,0.00,1,14
2024-09-01,CUST-0004,network_egress,0.00,0.00,0.00,69.01,2,22
2024-10-01,CUST-0004,compute_standard,5580.97,0.00,0.00,0.00,1,30
2024-10-01,CUST-0004,gpu_a100,0.00,252.66,0.00,0.00,2,19
2024-10-01,CUST-0004,object_storage,0.00,0.00,60.25,0.00,5,15
2024-10-01,CUST-0004,network_egress,0.00,0.00,0.00,98.92,1,20
2024-11-01,CUST-0004,compute_standard,6463.31,0.00,0.00,0.00,1,18
2024-11-01,CUST-0004,gpu_a100,0.00,246.60,0.00,0.00,3,24
2024-11-01,CUST-0004,object_storage,0.00,0.00,55.29,0.00,2,14
2024-11-01,CUST-0004,network_egress,0.00,0.00,0.00,77.26,3,16
2024-12-01,CUST-0004,compute_standard,6041.96,0.00,0.00,0.00,1,29
2024-12-01,CUST-0004,gpu_a100,0.00,257.74,0.00,0.00,5,13
2024-12-01,CUST-0004,object_storage,0.00,0.00,59.74,0.00,5,29
2024-12-01,CUST-0004,network_egress,0.00,0.00,0.00,94.70,4,15
2025-01-01,CUST-0004,compute_standard,5899.59,0.00,0.00,0.00,4,19
2025-01-01,CUST-0004,gpu_a100,0.00,344.61,0.00,0.00,1,7
2025-01-01,CUST-0004,object_storage,0.00,0.00,58.00,0.00,1,16
2025-01-01,CUST-0004,network_egress,0.00,0.00,0.00,104.66,2,26
2025-02-01,CUST-0004,compute_standard,5131.24,0.00,0.00,0.00,4,19
2025-02-01,CUST-0004,gpu_a100,0.00,441.09,0.00,0.00,1,12
2025-02-01,CUST-0004,object_storage,0.00,0.00,60.32,0.00,3,10
2025-02-01,CUST-0004,network_egress,0.00,0.00,0.00,97.40,4,26
2025-03-01,CUST-0004,compute_standard,6537.21,0.00,0.00,0.00,3,27
