crm_account_id,account_name,parent_account_name,segment,industry,region,account_owner,matched_customer_id,match_confidence
ACC-0070,SentinelSec Cloud,,Strategic,Gaming,Europe,S. Patel,CUST-0070,medium
ACC-0071,MedNova Cloud,,SMB,Fintech,Europe,M. Jensen,CUST-0071,high
ACC-0072,BrightApps Cloud,BrightApps Holdings,Enterprise,SaaS,North America,N. Kowalski,CUST-0072,high
ACC-0073,SignalForge Cloud,,Strategic,Gaming,North America,L. Garcia,CUST-0073,low
ACC-0074,Atlas Retail Cloud,,Commercial,E-commerce,Middle East,A. Novak,CUST-0074,high
ACC-0075,NovaLearn Cloud,,Commercial,Media,APAC,L. Garcia,CUST-0075,high
ACC-0091,Lambda Robotics,,Enterprise,E-commerce,APAC,L. Garcia,,new_logo
ACC-0092,Magellan BioAI,,Strategic,Healthcare,APAC,S. Patel,,new_logo
ACC-0093,Pinnacle Training,,Strategic,AI/ML,Europe,A. Novak,,new_logo
ACC-0094,Zenith Marketplace,,Strategic,AI/ML,Middle East,T. Meyer,,new_logo
